frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
334,1,0.784,1.112,18.257,59.181,59.181,-47.36,-29.102999999999998
335,1,0.802,1.061,14.334,63.011,63.011,-43.973,-29.639
336,1,0.936,1.12,13.246,56.814,56.814,-46.856,-33.61
337,1,1.108,1.158,23.788,55.789,55.789,-48.398,-24.610000000000003
338,1,1.064,1.221,21.923,56.706,56.706,-46.263,-24.34
339,1,0.865,0.961,18.756,58.79,58.79,-43.265,-24.509
340,1,0.682,0.883,17.28,62.664,62.664,-44.317,-27.037
341,1,0.829,0.613,79.428,56.834,56.834,-50.727,28.701
342,1,0.865,0.65,76.539,57.887,57.887,-54.102,22.437000000000005
343,1,0.813,0.797,81.483,56.412,56.412,-52.247,29.236000000000004
344,1,0.763,0.614,83.011,56.087,56.087,-56.189,26.821999999999996
345,1,0.879,0.598,71.25,60.987,60.987,-54.565,16.685000000000002
346,1,0.994,0.621,79.275,61.181,61.181,-55.74,23.535000000000004
347,1,0.857,0.709,80.263,62.364,62.364,-55.893,24.370000000000005
348,1,1.155,0.711,76.352,57.19,57.19,-52.271,24.081000000000003
349,1,0.703,0.798,75.822,61.293,61.293,-45.654,30.168
350,1,0.8,0.795,71.687,64.407,64.407,-36.05,35.637
351,1,0.763,0.873,64.569,57.133,57.133,-31.814,32.755
352,1,0.594,0.773,69.233,58.503,58.503,-36.425,32.80800000000001
353,1,0.658,1.159,67.785,55.943,55.943,-46.118,21.666999999999994
354,1,0.798,0.888,64.83,61.393,61.393,-44.994,19.836
355,1,1.015,0.95,62.055,56.389,56.389,-48.011,14.043999999999997
356,1,1.116,0.887,61.992,56.409,56.409,-47.429,14.562999999999995
357,1,0.893,0.69,65.882,50.6,50.6,-44.873,21.009000000000007
358,1,0.855,0.654,62.86,55.345,55.345,-50.191,12.668999999999997
359,1,1.117,0.669,56.363,57.377,57.377,-44.387,11.975999999999999
360,1,1.28,0.831,54.607,57.337,57.337,-38.586,16.021
361,1,0.919,0.84,58.843,55.43,55.43,-38.021,20.822000000000003
362,1,1.271,0.893,66.715,50.234,50.234,-46.93,19.785000000000004
363,1,1.452,0.796,72.48,53.809,53.809,-53.437,19.043000000000006
364,1,1.102,1.004,71.701,57.915,57.915,-49.554,22.14699999999999
365,1,0.98,1.046,71.834,53.815,53.815,-49.149,22.685000000000002
366,1,1.25,0.604,84.915,56.272,56.272,-56.507,28.40800000000001
367,1,1.11,0.971,89.316,59.483,59.483,-57.255,32.061
368,1,1.341,0.847,87.768,51.967,51.967,-54.817,32.951
369,1,1.115,0.626,92.879,53.692,53.692,-64.941,27.938000000000002
370,1,1.201,0.601,91.141,58.5,58.5,-56.596,34.54500000000001
371,1,1.204,1.099,84.092,57.365,57.365,-53.004,31.088
372,1,0.908,0.934,91.785,59.138,59.138,-63.575,28.209999999999994
373,1,1.026,0.63,93.725,56.357,56.357,-63.869,29.855999999999995
374,1,0.813,0.936,90.862,53.897,53.897,-60.578,30.283999999999992
375,1,1.056,0.865,84.918,56.471,56.471,-60.618,24.300000000000004
