frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
337,1,1.392,0.642,27.164,63.397,63.397,13.893,41.057
338,1,1.411,0.561,23.661,64.095,64.095,15.203,38.864000000000004
339,1,1.463,0.689,21.309,64.681,64.681,14.059,35.368
340,1,1.516,0.809,18.073,54.662,54.662,15.11,33.183
341,1,1.48,0.693,18.091,56.266,56.266,15.978,34.069
342,1,1.629,0.978,29.431,58.699,58.699,12.377,41.808
343,1,1.728,0.877,31.406,50.031,50.031,13.643,45.049
344,1,1.623,0.905,30.958,58.351,58.351,15.507,46.464999999999996
345,1,1.692,0.758,33.419,59.506,59.506,13.565,46.983999999999995
346,1,1.691,0.841,37.021,56.122,56.122,6.42,43.441
347,1,1.585,0.877,37.073,58.465,58.465,4.734,41.807
348,1,1.662,0.985,28.789,60.555,60.555,5.398,34.187
349,1,1.543,0.731,31.083,57.491,57.491,4.365,35.448
350,1,1.825,0.862,31.852,65.443,65.443,5.671,37.523
351,1,1.865,1.096,37.335,64.396,64.396,4.926,42.261
352,1,1.901,0.95,31.457,61.743,61.743,10.775,42.232
353,1,1.83,0.938,31.25,63.234,63.234,9.641,40.891
354,1,2.118,0.849,27.736,57.576,57.576,16.009,43.745000000000005
355,1,1.983,0.749,22.493,69.055,69.055,13.891,36.384
356,1,1.954,0.744,29.469,68.015,68.015,12.805,42.274
357,1,2.05,0.781,25.941,71.442,71.442,13.103,39.044
358,1,2.108,0.837,33.835,71.428,71.428,14.863,48.698
359,1,2.075,0.829,30.174,68.559,68.559,16.058,46.232
360,1,1.784,0.82,35.444,68.743,68.743,16.081,51.525000000000006
361,1,1.909,0.811,33.219,73.048,73.048,14.608,47.827
362,1,2.184,1.079,35.397,68.012,68.012,11.373,46.769999999999996
363,1,1.976,0.938,37.706,65.695,65.695,8.223,45.929
364,1,1.89,1.068,48.646,59.432,59.432,-6.282,42.364000000000004
365,1,1.836,0.869,42.825,63.694,63.694,-2.487,40.338
366,1,1.901,1.108,33.677,68.724,68.724,3.838,37.515
367,1,1.788,0.894,35.073,68.86,68.86,6.365,41.438
368,1,1.681,1.019,31.192,68.43,68.43,9.697,40.888999999999996
369,1,1.781,0.934,26.782,74.107,74.107,6.743,33.525
370,1,1.845,0.867,27.249,76.767,76.767,3.671,30.919999999999998
371,1,1.929,0.921,28.877,73.637,73.637,9.995,38.872
372,1,1.906,0.945,23.978,71.609,71.609,3.322,27.3
373,1,1.596,0.904,22.768,77.775,77.775,7.446,30.214
374,1,1.516,1.085,25.064,76.39,76.39,3.869,28.933
375,1,1.822,0.842,27.273,63.126,63.126,1.112,28.384999999999998
376,1,1.699,0.982,22.346,68.936,68.936,-2.629,19.717
377,1,1.76,0.98,25.28,73.963,73.963,-0.368,24.912000000000003
378,1,1.842,0.876,24.722,62.281,62.281,0.13,24.852
379,1,1.591,0.749,21.556,74.184,74.184,6.525,28.081000000000003
380,1,1.71,0.833,21.388,70.35,70.35,10.198,31.586000000000002
381,1,1.743,0.834,19.206,67.83,67.83,13.796,33.001999999999995
382,1,1.877,0.878,22.454,67.322,67.322,13.571,36.025
383,1,1.697,0.914,30.103,68.075,68.075,16.14,46.243
384,1,2.075,0.921,22.235,70.754,70.754,15.574,37.809
385,1,1.96,0.656,22.797,82.092,82.092,19.878,42.675
386,1,2.047,0.815,16.767,81.268,81.268,19.33,36.096999999999994
387,1,2.014,0.821,14.82,85.816,85.816,18.339,33.159
388,1,1.676,0.745,11.717,85.617,85.617,19.755,31.472
389,1,1.974,0.813,12.01,84.368,84.368,14.7,26.71
390,1,1.831,0.833,18.525,90.498,90.498,12.323,30.848
391,1,1.908,0.822,12.74,84.538,84.538,12.442,25.182000000000002
392,1,2.095,1.097,17.106,84.084,84.084,17.802,34.908
