frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
43937,1,1.12,0.579,44.75,30.835000000000008,30.835,-72.084,-27.334000000000003,7,3.148,16
798,1,1.491,1.281,7.5,87.66300000000001,87.663,23.28200000000001,30.78200000000001,7,3.148,17
9366,1,1.544,0.935,-3.467000000000013,37.63300000000001,37.633,-50.212999999999994,-53.68000000000001,7,3.148,18
28774,1,1.281,1.152,-36.351,108.755,108.755,-10.40100000000001,-46.75200000000001,7,3.148,19
653,1,2.079,0.866,-2.4480000000000075,49.18899999999999,49.189,9.593999999999994,7.145999999999987,7,3.148,20
48649,1,0.889,1.166,8.537000000000006,34.29599999999999,34.296,-40.59,-32.053,8,3.149,1
6988,1,1.123,1.86,-26.86500000000001,14.098000000000013,14.098,-18.312999999999988,-45.178,8,3.149,2
825,1,2.213,0.824,30.837999999999994,75.38400000000001,75.384,12.482,43.31999999999999,8,3.149,3
48833,1,1.42,1.389,-6.030000000000001,38.420000000000016,38.42,-24.486999999999995,-30.516999999999996,8,3.149,4
4008,1,0.823,1.288,-27.769000000000005,41.435,41.435,-20.51400000000001,-48.283000000000015,8,3.149,5
23112,1,1.201,1.08,-9.730999999999995,105.17700000000002,105.177,-28.573000000000008,-38.304,8,3.149,6
40520,1,1.603,0.908,53.456999999999994,60.863,60.863,-41.394000000000005,12.062999999999988,8,3.149,7
28793,1,1.26,1.086,-34.285,108.77499999999998,108.775,-21.960000000000008,-56.245000000000005,8,3.149,8
2980,1,1.077,1.237,-11.163999999999987,36.365999999999985,36.366,-24.921999999999997,-36.08600000000001,8,3.149,9
44184,1,1.302,0.855,38.393,28.214,28.214,-64.334,-25.941000000000003,8,3.149,10
528,1,1.773,0.771,9.619,70.34100000000001,70.341,30.002999999999986,39.622000000000014,8,3.149,11
798,1,1.491,1.281,7.5,87.66300000000001,87.663,23.28200000000001,30.78200000000001,8,3.149,12
793,1,2.118,0.789,15.911000000000001,81.28700000000003,81.287,39.38300000000001,55.29399999999998,8,3.149,13
28774,1,1.281,1.152,-36.351,108.755,108.755,-10.40100000000001,-46.75200000000001,8,3.149,14
262,1,2.751,1.319,67.29500000000002,64.701,64.701,15.527999999999992,82.82299999999998,8,3.149,15
9366,1,1.544,0.935,-3.467000000000013,37.63300000000001,37.633,-50.212999999999994,-53.68000000000001,8,3.149,16
264,1,2.837,1.155,60.456999999999994,72.65199999999999,72.652,17.426999999999992,77.88400000000001,8,3.149,17
1040,1,1.591,0.761,-2.8360000000000127,46.236999999999995,46.237,-22.372000000000014,-25.208,8,3.149,18
2309,1,1.685,0.836,-25.695999999999998,30.80600000000001,30.806,-19.415999999999997,-45.111999999999995,8,3.149,19
8346,1,1.176,0.86,17.289999999999992,32.69200000000001,32.692,-59.93299999999999,-42.643,8,3.149,20
798,1,1.491,1.281,7.5,87.66300000000001,87.663,23.28200000000001,30.78200000000001,9,3.15,1
3539,1,0.993,1.969,-19.581999999999994,29.99000000000001,29.99,-18.364000000000004,-37.946,9,3.15,2
264,1,2.837,1.155,60.456999999999994,72.65199999999999,72.652,17.426999999999992,77.88400000000001,9,3.15,3
48649,1,0.889,1.166,8.537000000000006,34.29599999999999,34.296,-40.59,-32.053,9,3.15,4
40520,1,1.603,0.908,53.456999999999994,60.863,60.863,-41.394000000000005,12.062999999999988,9,3.15,5
4179,1,1.168,1.577,-11.634000000000015,42.91899999999998,42.919,-36.206999999999994,-47.84100000000001,9,3.15,6
793,1,2.118,0.789,15.911000000000001,81.28700000000003,81.287,39.38300000000001,55.29399999999998,9,3.15,7
