frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
6185,1,3.851,0.538,62.507000000000005,71.945,71.945,0.3120000000000118,62.81900000000002,7,1.886,16
45030,1,1.46,1.502,-40.977000000000004,56.101,56.101,8.807999999999993,-32.16899999999998,7,1.886,17
34913,1,1.246,1.091,10.949000000000012,73.97399999999999,73.974,-14.87100000000001,-3.921999999999997,7,1.886,18
27065,1,1.103,1.243,71.673,22.87100000000001,22.871,-79.506,-7.832999999999998,7,1.886,19
33874,1,1.226,0.922,-3.8870000000000005,76.87299999999999,76.873,-6.848000000000013,-10.735000000000014,7,1.886,20
15964,1,0.902,0.589,-32.02000000000001,-11.790999999999997,11.791,45.56200000000001,13.542000000000002,8,1.891,1
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,8,1.891,2
39404,1,1.08,0.778,-21.698000000000008,94.10899999999998,94.109,-4.038000000000011,-25.73599999999999,8,1.891,3
10790,1,3.041,1.018,-34.230999999999995,113.428,113.428,76.67899999999997,42.44800000000001,8,1.891,4
26186,1,1.567,1.129,-14.310000000000002,57.20600000000002,57.206,-4.939999999999998,-19.25,8,1.891,5
6387,1,1.245,1.216,-18.450999999999993,53.553,53.553,-5.074999999999989,-23.52600000000001,8,1.891,6
28765,1,0.743,1.504,-31.72200000000001,50.647999999999996,50.648,-5.445999999999998,-37.168000000000006,8,1.891,7
11952,1,1.279,1.052,-22.673000000000002,83.46199999999999,83.462,-13.405000000000001,-36.078,8,1.891,8
51430,1,0.857,1.04,-46.853999999999985,24.983000000000004,24.983,46.387,-0.46699999999998454,8,1.891,9
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,8,1.891,10
21117,1,0.808,0.797,54.507000000000005,39.752999999999986,39.753,-60.513000000000005,-6.006,8,1.891,11
34913,1,1.246,1.091,10.949000000000012,73.97399999999999,73.974,-14.87100000000001,-3.921999999999997,8,1.891,12
32292,1,1.374,0.882,-61.437,32.60300000000001,32.603,21.22,-40.216999999999985,8,1.891,13
15609,1,1.412,1.028,25.596000000000004,62.983000000000004,62.983,22.873999999999995,48.47,8,1.891,14
35625,1,1.094,0.75,26.574000000000012,86.19299999999998,86.193,44.52699999999999,71.101,8,1.891,15
